"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
83,5,2,5,-1,0,18,151,10.8,3,-3,13,61,16,13,90,71,1444,5,-2,-3,112,-13,147,16
22,-3,6,2,11,-7,18,3,1.8,-7,7,1,12,7,-8,-9,-40,272,-1,-2,5,-25,8,-21,4
19,0,-1,-1,-1,2,26,57,-3.8,5,-5,2,26,7,12,31,22,291,12,-4,0,38,-11,37,-3
41,10,2,-10,10,4,18,107,6.7,-2,2,1,62,0,-1,45,33,930,-4,8,8,21,1,89,3
61,0,3,-12,2,10,4,-22,1,1,-1,10,-47,6,4,25,25,563,-12,5,-1,31,-4,-27,-1
15,8,2,-14,11,3,23,87,-1.7,-3,3,4,58,17,6,29,23,327,2,-13,9,30,-2,71,-4
21,4,3,-13,6,0,20,-13,-4.5,-17,17,-2,-19,13,-5,6,-10,443,8,-9,3,21,5,-34,-3
45,-1,6,2,-1,4,3,105,9.19999999999999,0,0,8,58,-12,0,47,31,437,-9,21,-7,43,0,93,-5
41,4,-10,-10,-17,4,-27,-10,13.3,-3,3,5,-13,-2,2,3,10,360,0,6,-7,3,-2,7,-4
33,-4,12,0,24,2,40,69,-3.2,-6,6,3,22,13,-9,47,8,411,-8,-6,12,15,9,29,5
19,7,4,-5,4,-7,12,-12,-3.80000000000001,-4,4,-2,-6,-5,3,-6,-27,372,-7,11,0,-8,-4,-37,6
21,3,2,-15,9,-3,16,30,-1.89999999999999,-17,17,0,6,2,3,24,-7,362,-13,1,7,46,-2,12,1
35,-1,-1,-1,8,3,-2,1,-2.3,-2,2,1,-7,24,14,8,9,411,15,-19,9,71,-14,16,6
19,-5,3,-9,5,-1,6,43,3.5,1,-1,3,-16,10,1,59,57,467,-23,-4,2,14,-1,33,6
14,3,-1,-4,8,-3,12,5,-1,-2,2,2,-23,24,2,28,31,520,-4,-23,9,8,-1,13,11
11,-1,3,11,16,-1,36,50,-0.5,-4,4,2,24,12,3,26,-1,37,-3,-11,13,1,-3,15,2
6,18,0,-21,-7,0,-25,-46,-0.599999999999994,-15,15,-1,-11,7,-4,-35,-31,180,-8,-3,-7,-40,1,-35,9
27,-11,-3,14,-5,-1,9,51,4.09999999999999,4,-4,5,18,23,4,33,30,519,28,-19,-2,29,-4,47,10
42,4,-1,-5,-11,-2,9,53,9.7,6,-6,5,66,6,8,-13,-5,734,-11,0,-10,27,-8,50,6
33,3,14,-19,14,5,27,-25,1.7,-8,8,-1,-42,4,12,17,-18,105,-8,-1,0,12,-12,-38,1
4,-3,0,-9,-15,1,-20,-8,6,9,-9,1,6,22,10,-14,-7,157,6,-22,-15,21,-8,17,2
10,5,-2,-8,-7,-3,-14,-47,-1.69999999999999,-10,10,-3,-23,-4,5,-24,-32,11,5,5,-5,-5,-5,-33,-5
16,-2,-2,-15,2,-4,11,9,2.8,-15,15,5,3,8,-3,6,-12,627,21,-4,4,6,3,4,-6
39,-1,0,-12,9,2,4,21,9.3,-9,9,1,7,8,-1,14,7,324,-15,-4,9,22,2,9,-5
31,-1,0,-11,-3,0,-3,-9,3.59999999999999,-1,1,3,-19,3,7,10,12,431,1,2,-3,47,-7,-3,1
5,-2,7,1,12,-2,1,47,1.3,-5,5,-3,14,11,-6,33,15,215,-10,-12,5,31,6,38,-1
27,2,3,-1,-5,0,17,37,2.8,-12,12,7,34,10,7,3,-6,446,-3,-7,-8,34,-6,18,8
27,13,-2,-4,-8,-3,-25,9,7.8,-2,2,4,12,-1,6,-3,-11,634,13,5,-6,29,-5,29,-4
8,1,1,-2,-12,6,-13,63,10.8,2,-2,-2,38,4,4,25,34,155,-7,-5,-13,18,-4,79,2
38,12,-3,6,-13,8,21,28,-0.400000000000006,2,-2,5,34,9,11,-6,-6,780,-10,-2,-10,44,-12,14,2
24,8,-11,-9,-5,4,-8,42,7.10000000000001,3,-4,2,14,-3,5,28,31,287,-7,6,6,20,-4,54,-3
47,-4,0,6,9,0,1,-13,2.5,10,-10,6,-42,-14,4,29,17,377,27,21,9,11,-4,-11,2
12,2,2,-7,10,3,29,-9,-7.8,-8,8,-6,-26,24,10,17,-12,491,-9,-21,8,25,-8,-41,3
1,-6,9,-5,24,2,35,-35,-7.60000000000001,-3,2,-2,-50,-2,-7,15,5,-461,25,3,15,-5,6,-54,-8
27,1,-3,-5,5,-1,5,25,3.8,9,-9,6,-3,-8,9,28,29,130,1,10,8,62,-9,32,2
27,-3,9,18,23,4,22,42,3,8,-8,6,3,0,-12,39,26,263,5,4,14,1,12,20,-3
49,9,0,-6,9,5,4,33,3.3,-3,3,8,7,5,-4,26,16,408,3,1,9,18,3,29,-2
19,7,-2,-6,7,4,9,38,6.5,-4,3,2,8,21,8,30,25,311,-11,-20,9,56,-8,38,5
47,8,1,-2,3,-3,22,81,1.5,-2,2,7,29,15,10,52,15,970,10,-8,2,34,-9,60,-5
22,-1,-1,-13,0,3,12,-38,-3.3,-5,5,3,-37,6,11,-1,-16,242,-5,-1,1,12,-11,-47,8
2,-2,11,-6,19,-6,9,9,2.3,3,-3,3,-33,12,1,42,27,-45,-1,-10,8,29,-2,9,3
34,-3,0,3,-3,-2,11,40,-3.8,5,-5,-2,28,15,1,12,13,409,13,-10,-3,49,0,35,-1
22,-4,-7,-3,-11,-1,-1,59,3.59999999999999,-7,7,2,25,-7,6,34,28,188,-17,9,-4,27,-6,57,11
69,5,8,-17,15,7,22,80,3,-5,5,8,53,15,-1,27,13,1014,13,-4,7,100,0,54,-4
18,0,-4,-3,-10,5,12,-74,0.899999999999991,-2,2,-1,-69,-5,14,-5,-1,-187,13,8,-6,-18,-14,-82,-2
47,-5,11,-22,8,6,6,37,4.39999999999999,-15,15,1,5,31,6,32,16,827,-6,-24,-3,-5,-6,31,20
91,0,-1,0,14,3,19,84,15.2,1,-1,6,29,24,9,55,55,1308,4,-8,15,58,-8,79,8
55,-2,3,7,21,-2,25,42,3.59999999999999,4,-4,7,8,27,-3,34,23,888,19,-20,18,52,3,24,2
3,3,-4,7,-9,5,17,42,0.5,-2,2,1,4,6,0,38,33,365,-24,-6,-5,12,0,18,4
28,6,9,-2,2,-3,-17,10,11.6,1,-1,9,24,16,-7,-14,3,888,16,-10,-7,39,8,32,4
10,12,1,7,-1,4,10,-28,-3.90000000000001,6,-6,1,-23,22,6,-5,0,-73,4,-21,-2,16,-6,-27,14
10,3,-3,12,-12,10,4,9,-2.7,8,-8,3,-7,4,11,16,22,342,-6,-3,-9,-3,-10,7,1
1,-4,-5,-4,0,4,9,31,-2.8,6,-6,-1,2,0,2,29,38,-78,10,3,5,9,-1,31,3
86,11,12,0,21,4,51,207,7.40000000000001,-5,5,12,142,22,8,65,41,1514,1,-6,9,87,-8,165,3
6,4,-2,-1,-5,1,22,34,-3.2,-2,2,0,35,18,10,-1,-15,618,-7,-15,-3,15,-11,23,3
70,1,-9,-15,-15,9,0,2,0.599999999999994,2,-2,8,-3,31,22,5,0,1101,6,-17,-6,41,-22,3,6
5,6,-6,-7,-18,-1,-16,-14,1.90000000000001,-4,4,0,-8,5,11,-6,2,218,11,-2,-12,-24,-9,-8,7
27,2,-6,7,-16,-4,-14,-19,2,4,-4,5,8,-3,10,-27,-1,366,39,6,-10,44,-10,-1,-15
43,0,-2,-4,-1,5,13,73,6.60000000000001,6,-6,7,41,25,20,32,15,851,3,-19,1,69,-20,70,14
68,-6,4,5,10,9,39,54,9.6,-1,1,7,32,16,3,22,19,1280,-4,-4,6,46,-3,26,10
34,3,-6,-11,-5,-8,-14,-3,2.8,-5,5,4,-31,7,9,28,25,587,16,-2,1,7,-10,24,11
11,0,3,4,6,1,12,51,2.39999999999999,-4,4,1,41,18,5,10,23,247,4,-20,3,29,-5,55,-4
45,6,4,5,-2,6,0,18,1.09999999999999,2,-1,9,-12,2,2,30,28,770,3,6,-6,8,-1,12,4
55,-16,3,0,-2,8,22,40,1.89999999999999,-1,1,5,-3,26,15,43,33,540,13,-18,-5,57,-13,27,0
58,-7,2,6,12,-3,42,76,2.7,6,-6,5,17,39,8,59,15,805,5,-32,10,75,-8,48,4
20,-4,3,5,0,3,23,67,4.39999999999999,8,-8,-2,53,15,6,14,6,609,1,-10,-3,24,-7,40,7
89,14,3,-11,3,7,19,1,3,-7,7,9,-7,19,7,8,6,1201,-13,-5,0,64,-9,-12,0
24,5,1,-1,-3,3,-17,-25,11.9,6,-6,7,8,-6,-7,-33,-12,232,4,12,-4,25,4,-9,1
6,6,5,-10,7,-6,-1,53,3,-6,6,-1,27,5,0,26,19,-102,5,-6,2,-2,1,44,8
32,-2,3,-20,3,1,-4,-16,0,-9,9,2,-7,-2,-2,-9,-20,426,0,10,0,-22,2,-21,0
2,-2,3,-4,5,-2,5,-26,2.3,-4,4,3,-14,4,-9,-12,0,-65,-7,-6,2,3,9,-19,-11
28,3,-1,-13,0,2,3,10,5.2,-5,5,6,8,-1,2,2,5,561,6,7,1,27,-2,12,-1
27,7,4,-9,3,-2,-25,4,5.09999999999999,2,-2,5,-33,-10,-5,37,39,144,9,16,-1,21,5,21,1
61,0,5,-3,18,-3,31,90,11.9,-7,7,7,35,14,-4,55,29,822,-4,-6,13,48,4,64,1
12,-3,-3,4,-3,-6,7,14,1.8,7,-7,3,2,-1,2,12,12,54,23,2,0,16,1,15,3
75,0,2,-6,8,9,19,104,7.2,-3,3,4,16,27,2,88,66,1421,4,-14,6,74,-3,92,9
44,1,-5,11,-1,2,22,50,5.30000000000001,0,0,6,26,3,5,24,12,461,4,6,4,26,-4,37,-3
39,0,5,-14,3,-1,12,17,4.90000000000001,-6,6,7,-45,1,-2,62,37,628,-11,7,-2,27,2,4,0
24,1,0,-13,-1,-6,6,33,0,-10,10,3,36,15,-3,-3,-26,652,1,-11,-1,8,3,26,-2
