"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Nathan Wright","St Kilda",5,"Forward",3,5.4,8.4,66.6,0.4,0.6,0,2.6,0.2,1,0.2,1,0.4,0.4,4,4.6,0,0.2,0,1.6,0,0.2,70.2,0,0.2,3.4,92.8,1.4,1.6,1.2,0,0,0.4,0.2,5.4,1.4,1.2,3,0,0,15.4,0,0.8,1.2
"Curtly Hampton","Adelaide",12,"Interchange",6.33,6.5,12.83,65.67,0.33,0.17,0,5.25,0.33,2.75,1.67,2.42,0.33,0.92,6.25,6.58,0,0.08,0.58,0.92,0.25,0.33,71.75,0.83,0.83,3.83,172.58,2.5,0.83,1,0,0.08,0.25,0.08,7.58,3.08,0.75,5.25,0,0,23.42,0,0.58,0.58
"Dean Towers","Sydney",27,"Interchange",7.41,6.59,14,69.04,0.48,0.44,1.33,3.3,1.07,2.63,1.26,2.41,0.78,0.78,6.44,8.04,0,0.33,0.37,1.19,0,0.52,76.59,0.41,0.85,4.44,197.11,3.26,2.19,0.85,0.07,0.22,0.89,0.11,5.04,4.48,1.56,5.26,0.37,0.26,14.74,7.37,1.07,0.78
"Will Langford","Hawthorn",26,"Interchange",8.92,7.58,16.5,61.81,0.27,0.62,0,3.12,0.58,3.12,2.23,3.27,0.77,0.88,7.54,8.65,0,0.23,0.81,1.19,0.15,0.58,74.27,0.65,1.58,4.81,221.58,3.62,2.38,0.96,0.04,0.08,0.92,0.27,6.35,4.12,1.15,5.62,0,0.19,18.04,0.08,1,0.58
"Fraser McInnes","West Coast",5,"Interchange",4.6,5.4,10,74.6,0.2,0.6,5.2,2.8,0.4,1.4,0.2,0.6,0.6,0,4.2,5.6,0,1.2,0.4,3.4,0,0.4,65,0.2,0,3.4,125.4,1.2,2.2,1.2,0,0,2.8,0.4,3,2.8,0.6,2.4,0.6,0.8,12.4,15.4,0.8,3.2
"Billy Hartung","North Melbourne",31,"Interchange",10.32,9.77,20.1,73.74,0.35,0.35,0,2.06,1.39,2.81,1.32,2.39,0.35,0.48,4.77,15.45,0,0.06,0.23,0.84,2.1,0.32,77.32,0.32,1.06,4.23,321.39,3.65,2.35,0.39,0.03,0.23,0.23,0.06,7,6.68,0.68,4.03,0,0.29,14.55,0,0.61,0.32
"Josh Green","Essendon",24,"Interchange",6.96,3.58,10.54,63.58,1.04,1.12,0,2.92,0.38,1.83,0.71,2,0.71,0.83,5.58,5.04,0,0.21,0.67,0.33,0,0.5,73.08,0.25,0.46,4.92,164.67,2.5,1.38,1.62,0,0,1.79,0.33,3.58,3.75,2.08,4.46,0,0.04,14.67,0,0.92,0.04
"Cory Gregson","Geelong",10,"Forward",5.7,3.6,9.3,73.7,0.3,0.4,0,3.4,0.5,2.2,0.5,1.7,0.5,0.8,3.5,6.5,0,0.3,0.4,0.7,0,0.7,75.5,0.2,0.3,3,148.9,2.2,1,0.9,0,0,0.2,0,5.8,3.8,0.8,2.4,0,0,15.6,0,0.6,0.3
"Sam Gibson","Adelaide",27,"Midfield",11.56,10.63,22.19,71.19,0.26,0.37,0,3.26,2.04,2.07,1.96,1.93,0.7,0.59,7.22,14.93,0.04,0.15,0.26,0.74,0.11,0.44,85.85,0.56,1.48,4.22,266.56,3.67,3.85,0.44,0.22,0.48,0.11,0.07,6.33,7.41,0.89,5.78,0,0.48,13.56,0,0.89,0.48
"Pat Kerr","Carlton",4,"Forward",7,2.25,9.25,67,0.5,1.25,1.5,0.75,0,2.5,0.25,2,0.75,0.75,2.5,6.25,0,0,1,0.5,0,0.25,72.25,0,0.25,3.5,215.75,2.75,0.5,0.25,0,0.25,1.75,0.75,0.75,4,0.5,1.75,0.5,0,5.75,2,0.25,0.5
