Player,Position
Elijah Taylor,Gen Fwd
Atu Bosenavulagi,Gen Fwd
Jacob Heron,Gen Def
Josh Morris,Gen Fwd
Zac Foot,Mid
Liam Henry,Mid
Xavier O'Halloran,Mid
Ned Cahill,Gen Fwd
Connor Idun,Key Def
Nick Shipley,Gen Fwd
Connor Ballenden,Key Fwd
Toby Bedford,Gen Fwd
Ben Davis,Gen Fwd
Thomas Berry,Mid
Jordon Butts,Key Def
Matt Ling,Mid
Tom Fullarton,Ruck
Jeremy Sharp,Mid
Chad Warner,Mid
Sam Philp,Mid
Changkuoth Jiath,Gen Def
Patrick Naish,Gen Def
Mitchell Hinge,Gen Def
Matthew Cottrell,Gen Def
Will Hamill,Gen Def
Joel Garner,Gen Def
Tobe Watson,Gen Def
Francis Watson,Gen Def
Nathan Murphy,Gen Def
Louis Butler,Gen Def
Jason Carter,Gen Def
