Player,Team,Position,Rank
Tarryn Thomas,N Melbourne,Mid,24.3
Logan Austin,St Kilda,Key Def,24.3
Harrison Petty,Melbourne,Key Def,24
Martin Gleeson,Essendon,Gen Def,23.9
Chris Mayne,Collingwood,Mid,23.9
Lachie Schultz,Fremantle,Gen Fwd,23.8
Bailey Scott,N Melbourne,Mid,23.7
Darcy MacPherson,Gold Coast,Mid,23.7
Jackson Thurlow,Sydney,Mid,23.7
Nathan Jones,Melbourne,Mid,23.4
Bailey Banfield,Fremantle,Mid,23.2
Matt Guelfi,Essendon,Mid,22.6
Mark Hutchings,West Coast,Mid,22.5
Sam Simpson,Geelong,Mid,22.4
George Horlin-Smith,Gold Coast,Mid,22.2
Jake Aarts,Richmond,Gen Fwd,22
Corey Wagner,Melbourne,Mid,21.6
Jackson Hately,GWS,Mid,21.2
Ed Phillips,St Kilda,Mid,21
Jordan Murdoch,Gold Coast,Gen Fwd,20.9
Will Hoskin-Elliott,Collingwood,Gen Fwd,20.8
Rupert Wills,Collingwood,Mid,20.7
Lochie O'Brien,Carlton,Mid,20.4
Laitham Vandermeer,Bulldogs,Gen Def,20.4
Keegan Brooksby,Hawthorn,Ruck,20.3
Ivan Soldo,Richmond,Ruck,20.3
Isaac Cumming,GWS,Gen Def,20.3
Jye Caldwell,GWS,Mid,20
Brett Bewley,Fremantle,Mid,20
Riley Knight,Adelaide,Gen Fwd,19.7
Kaiden Brand,Sydney,Key Def,19.7
Sam Switkowski,Fremantle,Gen Fwd,19.4
Sam Sturt,Fremantle,Gen Fwd,19.3
Nathan Vardy,West Coast,Ruck,19.3
Tom Atkins,Geelong,Mid,18.9
Adam Kennedy,GWS,Gen Def,18.9
Corey Ellis,Gold Coast,Gen Def,18.8
Callum L. Brown,Collingwood,Gen Fwd,18.8
Jayden Laverde,Essendon,Gen Fwd,18.8
Lewis Young,Bulldogs,Key Def,18.5
Oleg Markov,Richmond,Gen Def,18.5
Rhys Mathieson,Brisbane,Mid,18.3
Josh Schoenfeld,Gold Coast,Gen Def,17.5
Jack Madgen,Collingwood,Key Def,17.2
Ethan Hughes,Fremantle,Gen Def,17.2
Alex Neal-Bullen,Melbourne,Gen Fwd,17.1
Zach Guthrie,Geelong,Gen Def,17.1
Josh Begley,Essendon,Gen Fwd,16.7
Mitchell Crowden,Fremantle,Gen Fwd,16.6
Travis Varcoe,Collingwood,Gen Fwd,16.6
Archie Smith,Brisbane,Ruck,16.6
Jake Kelly,Adelaide,Gen Def,16.1
Lin Jong,Bulldogs,Mid,15.9
Chayce Jones,Adelaide,Mid,15.9
Hugh Goddard,Carlton,Key Def,15.3
Cameron Polson,Carlton,Gen Fwd,15.2
Daniel Venables,West Coast,Gen Fwd,15.1
Sean Lemmens,Gold Coast,Gen Fwd,15
Stefan Giro,Fremantle,Gen Fwd,14.9
Jacob Allison,Brisbane,Gen Def,14.8
James Parsons,Geelong,Gen Fwd,14.8
Matt Buntine,GWS,Gen Def,14.7
Ben Ronke,Sydney,Gen Fwd,14.7
Nathan Brown,St Kilda,Key Def,14.6
Ian Hill,GWS,Gen Fwd,14.3
Travis Colyer,Fremantle,Gen Fwd,14.3
Tom Cole,West Coast,Gen Def,14.3
Conor Nash,Hawthorn,Key Fwd,14.1
Aaron vandenBerg,Melbourne,Mid,14
Roarke Smith,Bulldogs,Gen Def,13.9
Colin O'Riordan,Sydney,Gen Def,13.9
Zaine Cordy,Bulldogs,Key Def,13.8
Max King,St Kilda,Key Fwd,13.8
Aiden Bonar,N Melbourne,Gen Fwd,13.8
Oliver Hanrahan,Hawthorn,Gen Fwd,13.7
